mode         freq_ANI_1ccx_gelu        exp        mp2    physnet_MP2_NN1    physnet_MP2_NN2    physnet_CCSD(T)_NN1    physnet_CCSD(T)_NN2    physnet_CCSD(T)_F12_NN1    physnet_CCSD(T)_F12_NN2
---------  --------------------  ---------  ---------  -----------------  -----------------  ---------------------  ---------------------  -------------------------  -------------------------
1                     1146.39    1167       1180.23          1180.04              1179.94                1163.73               1163.52                    1166.36                    1166.73
2                     1265.18    1249       1246.71          1246.72              1246.67                1240.62               1241.36                    1246.01                    1245.61
3                     1496.96    1500       1507.95          1507.55              1507.47                1493.89               1494.91                    1498.43                    1498.36
4                     1727.49    1746       1720.94          1719.02              1716.1                 1729.94               1731.88                    1745.32                    1744.66
5                     2778.09    2782       2826.67          2823.82              2823.11                2775.38               2779.58                    2783.01                    2778.06
6                     2822.06    2843       2862.61          2862.29              2859.67                2819.51               2821.49                    2825.99                    2821.91
MAE(exp)                13.8663     0         18.8017          18.4933              18.4033                10.655                 9.04333                    3.98333                    5.27833
RMSE(exp)               15.7709     0         23.2789          22.6612              22.6958                12.7265               11.2864                     7.10208                    8.91031
MAE(mp2)                26.4973    18.8017     0                0.948333             2.025                 23.34                 22.375                     21.4583                    22.87
RMSE(mp2)               30.6986    23.2789     0                1.42053              2.7404                29.0869               27.4041                    26.2205                    28.4531
