mode,physnet_MP2_NN1,physnet_MP2_NN2,mp2,exp
1,-2337.85,-2548.69,-2425.72,0
2,-206.36,-204.12,-213.48,269.00
3,453.25,457.1,5451.29,427.00
4,479.72,473.40,477.92,507.00
5,574.42,576.91,574.20,548.00
6,701.19,706.62,700.92,625.00
7,839.3,840.76,840.39,858.00
8,981.95,984.00,979.28,965.00
9,1037.24,1038.03,1033.17,1040.00
10,1056.99,1054.48,1054.59,1134.00
11,1342.26,1344.85,1340.62,1319.00
12,1370.49,1370.80,1371.24,1385.00
13,1444.48,1443.41,1443.50,1432.00
14,1464.30,1459.85,1463.58,1433.00
15,1556.28,1556.57,1552.95,1600.00
16,1718.97,1726.61,1725.92,1733.00
17,2996.35,2990.34,2994.98,2860.00
18,3005.78,2993.60,3008.41,2900.00
19,3068.72,3072.59,3070.81,2967.00
20,3496.12,3504.90,3501.75,3450.00
21,3646.50,3665.08,3657.46,3550.00
