mode         freq_ANI_1ccx_gelu        exp        mp2    physnet_MP2_NN1    physnet_MP2_NN2
---------  --------------------  ---------  ---------  -----------------  -----------------
1                       47.2775     0        -47.12             -84.94            -55.88
2                      478.247    479        477.77             479.22            478.01
3                      611.134    599        593.54             593.12            594.6
4                      669.899    647        663.1              661.89            662.6
5                      939.611    921        923.87             922.3             925.33
6                     1128.32    1097       1105.09            1104.1            1106.03
7                     1149.5     1153       1119.84            1120.33           1119.07
8                     1411.33    1384       1385.96            1385.86           1385.15
9                     1430.27    1413       1395.09            1394.18           1394.87
10                    1491.13    1449       1448.14            1447.35           1448.15
11                    1501.61    1488       1449.79            1448.21           1450.3
12                    1745.44    1582       1727.56            1713.45           1726.72
13                    3115.51    2965       3006.22            3011.56           3008.23
14                    3219.69    3048       3086.01            3086.54           3087.68
15                    3245.9     3048       3106.89            3107.14           3101.98
MAE(exp)                61.3592     0         30.4433            32.3207           30.9067
RMSE(exp)               91.3827     0         47.095             48.2797           47.3926
MAE(mp2)                49.5426    30.4433     0                  4.504             1.64733
RMSE(mp2)               66.7374    47.095      0                 10.5505            2.76145
