mode,exp,mp2,physnet_MP2_NN1,physnet_MP2_NN2,physnet_CCSD(T)_NN1,physnet_CCSD(T)_NN2
1,271.50,240.64,240.84,241.49,236.97,238.08
2,1033.50,1030.29,1031.16,1030.51,1026.41,1027.04 
3,1074.50,1069.25,1069.23,1069.65,1063.32,1063.78 
4,1145.00,1155.02,1154.53,1154.90,1145.68,1145.95
5,1332.00,1321.99,1321.89,1321.99,1321.31,1322.05
6,1454.50,1457.30,1457.42,1457.78,1447.89,1448.52 
7,1465.00,1483.22,1483.39,1483.11,1469.21,1468.55
8,1479.50,1489.48,1490.11,1489.77,1475.75,1475.62
9,2844.20,2996.01,2998.34,2997.26,2827.05,2829.22
10,2970.00,2996.40,3000.01,3001.00,2911.42,2912.12
11,2999.00,3046.42,3048.63,3048.07,2987.57,2988.73
12,3681.50,3687.39,3688.76,3686.33,3666.53,3667.99
