mode      freq_ANI_1ccx_gelu    physnet_MP2_NN1    physnet_MP2_NN2        mp2    physnet_CCSD(T)_NN1    physnet_CCSD(T)_NN2    CCSD(T)
------  --------------------  -----------------  -----------------  ---------  ---------------------  ---------------------  ---------
1                  288.33              289.86             289.85     289.38               286.35                 286.33         285.95
2                 1052.7              1056.62            1056.61    1056.64              1053.43                1053.41        1053.38
3                 1081.7              1088.65            1088.59    1088.63              1082.2                 1082.18        1082.11
4                 1175.84             1183.93            1183.91    1183.87              1175.88                1175.85        1175.72
5                 1379.9              1371.59            1371.6     1371.57              1379.1                 1379.11        1379.01
6                 1483.68             1491.97            1491.96    1492.01              1483.92                1483.91        1483.86
7                 1511.68             1525.4             1525.42    1525.41              1512.18                1512.2         1512.16
8                 1519.24             1535.71            1535.79    1535.8               1522.63                1522.65        1522.67
9                 3011.1              3053.97            3054.05    3053.94              3010.68                3010.64        3010.43
10                3069.54             3125.24            3125.24    3125.08              3068.92                3068.88        3068.65
11                3126.57             3182.86            3182.88    3182.91              3128.02                3127.96        3127.97
12                3844.85             3859.73            3859.8     3859.62              3843.44                3843.41        3843.27
MAE                  1.09236            19.5992            19.6117    19.5467               0.1375                 0.1175         0
RMSE                 1.43923            27.362             27.3811    27.3317               0.177177               0.157665       0
