mode         freq_ANI_1ccx_gelu        exp        mp2    physnet_MP2_NN1    physnet_MP2_NN2    physnet_CCSD(T)_NN1    physnet_CCSD(T)_NN2
---------  --------------------  ---------  ---------  -----------------  -----------------  ---------------------  ---------------------
1                      234.119    271.5      240.64            240.84            241.49                   236.97                 238.08
2                     1031.82    1033.5     1030.29           1031.16           1030.51                  1026.41                1027.04
3                     1067.12    1074.5     1069.25           1069.23           1069.65                  1063.32                1063.78
4                     1156.04    1145       1155.02           1154.53           1154.9                   1145.68                1145.95
5                     1325.82    1332       1321.99           1321.89           1321.99                  1321.31                1322.05
6                     1457.58    1454.5     1457.3            1457.42           1457.78                  1447.89                1448.52
7                     1487.78    1465       1483.22           1483.39           1483.11                  1469.21                1468.55
8                     1494.63    1479.5     1489.48           1490.11           1489.77                  1475.75                1475.62
9                     2861.79    2844.2     2996.01           2998.34           2997.26                  2827.05                2829.22
10                    2999.13    2970       2996.4            3000.01           3001                     2911.42                2912.12
11                    3047.11    2999       3046.42           3048.63           3048.07                  2987.57                2988.73
12                    3679.09    3681.5     3687.39           3688.76           3686.33                  3666.53                3667.99
MAE(exp)                16.826      0         26.8225           27.5725           27.2817                  15.0725                14.2958
RMSE(exp)               22.081      0         48.0076           48.9908           48.6441                  21.6762                21.0146
MAE(mp2)                14.2475    26.8225     0                 1.01              0.919167                32.8583                32.1567
RMSE(mp2)               38.9491    48.0076     0                 1.49191           1.52317                 57.9456                57.1841
