mode         freq_ANI_1ccx_gelu        exp        mp2    physnet_CCSD(T)-F12_NN1    physnet_CCSD(T)-F12_NN2    physnet_MP2_NN1    physnet_MP2_NN2    physnet_CCSD(T)_NN1    physnet_CCSD(T)-NN2
---------  --------------------  ---------  ---------  -------------------------  -------------------------  -----------------  -----------------  ---------------------  ---------------------
1                     619.781     626.16     619.54                    626.05                     625.78             619.28             618.68                 620.37                 619.3
2                     642.252     640.72     641.78                    637.65                     637.58             642.69             641.61                 630.86                 630.52
3                    1039.08     1033.47    1036.38                   1033.08                    1033.04            1037.06            1036.44                1028.34                1028.38
4                    1096.95     1104.85    1098.18                   1104.11                    1104.7             1097.01            1096.67                1099.54                1098.65
5                    1218.5      1306.2     1220.63                   1301.99                    1301.89            1220.49            1219.25                1294.92                1293.36
6                    1377.1      1380       1380.94                   1377.35                    1378.23            1380.81            1380.24                1375.3                 1374.86
7                    1763.24     1776.83    1760.53                   1774.44                    1774.6             1758.17            1757.89                1765.98                1768.89
8                    2966.44     2942       2967.8                    2924.61                    2927.3             2959.5             2960.15                2923.05                2922.24
9                    3556.36     3570.5     3554.9                    3565.7                     3565.34            3554.88            3555.83                3557.15                3562.98
MAE(exp)               18.2431      0         17.9411                    3.97222                    3.58556           17.62              17.6078                 9.46889                9.06111
RMSE(exp)              31.3016      0         30.9043                    6.37746                    5.57384           30.4975            30.9052                10.4861                10.0928
MAE(mp2)                1.79378    17.9411     0                        19.1911                    18.8089             1.55222            1.76667               17.0589                17.8644
RMSE(mp2)               2.1        30.9043     0                        31.4702                    31.034              2.92923            2.82457               29.3912                29.3041
