mode         freq_ANI_1ccx_gelu        exp        mp2    physnet_MP2_NN1    physnet_MP2_NN2    physnet_CCSD(T)_NN1    physnet_CCSD(T)_NN2    physnet_CCSD(T)_F12_NN1    physnet_CCSD(T)_F12_NN2
---------  --------------------  ---------  ---------  -----------------  -----------------  ---------------------  ---------------------  -------------------------  -------------------------
1                     544.759     543.88     551.35            551.59             551.72                 533.67                 533.93                     541.1                      542.37
2                     606.088     595.62     565.97            566.02             566.12                 595.98                 596.32                     608.55                     608.92
3                     797.48      790.12     765.83            766.25             765.86                 785.91                 786.93                     799.7                      799.04
4                    1262.3      1263.21    1233.45           1235.12            1230.53                1260.08                1260.91                    1267.74                    1267.88
5                    1712.11     1699.76    1637.31           1637.07            1636.84                1691.6                 1691.48                    1709.88                    1710.24
6                    3585.02     3590.77    3577.17           3580.86            3581                   3580.01                3581.84                    3590.28                    3586.8
MAE(exp)                6.28517     0         27.87             26.9783            27.8283                 6.13833                5.55833                    6.73833                    7.14167
RMSE(exp)               7.64628     0         32.9028           32.462             33.2732                 7.23715                6.62397                    8.06086                    8.22736
MAE(mp2)               31.6428     27.87       0                 1.05167            1.295                 25.255                 25.8617                    34.445                     33.6883
RMSE(mp2)              39.0362     32.9028     0                 1.66829            1.98228               29.6676                29.9445                    40.165                     40.0525
